is_test, filename
False, trainval_split.txt
False, 2019-12-05_19-36-19-front_split2.mp4
False, 2019-12-05_19-38-21-front_split0.mp4
False, 2019-12-05_19-30-14-front_split0.mp4
False, 2019-12-05_19-35-18-front_split0.mp4
False, 2019-12-05_19-32-16-front_split0.mp4
False, 2019-12-05_19-37-20-front_split2.mp4
False, 2019-12-05_19-35-18-front_split2.mp4
False, 2019-12-05_19-38-21-front_split1.mp4
False, 2019-12-05_19-35-18-front_split1.mp4
False, 2019-12-05_19-31-15-front_split1.mp4
False, 2019-12-05_19-33-17-front_split0.mp4
False, 2019-12-05_19-32-16-front_split2.mp4
False, 2019-12-05_19-31-15-front_split2.mp4
False, 2019-12-05_19-36-19-front_split0.mp4
False, 2019-12-05_19-37-20-front_split0.mp4
False, 2019-12-05_19-38-21-front_split2.mp4
False, 2019-12-05_19-34-17-front_split2.mp4
False, 2019-12-05_19-31-15-front_split0.mp4
False, 2019-12-05_19-37-20-front_split1.mp4
False, 2019-12-05_19-34-17-front_split1.mp4
False, 2019-12-05_19-30-14-front_split2.mp4
False, 2019-12-05_19-34-17-front_split0.mp4
False, 2019-12-05_19-33-17-front_split2.mp4
False, 2019-12-05_19-32-16-front_split1.mp4
False, 2019-12-05_19-30-14-front_split1.mp4
False, 2019-12-05_19-36-19-front_split1.mp4
False, 2019-12-05_19-33-17-front_split1.mp4
True, 2019-12-06_07-49-36-front_split2.mp4
True, 2019-12-06_07-45-32-front_split0.mp4
True, 2019-12-06_07-45-32-front_split1.mp4
True, 2019-12-06_07-47-35-front_split0.mp4
True, 2019-12-06_07-49-36-front_split0.mp4
True, 2019-12-06_07-46-33-front_split1.mp4
True, 2019-12-06_07-47-35-front_split1.mp4
True, 2019-12-06_07-48-35-front_split0.mp4
True, 2019-12-06_07-47-35-front_split2.mp4
True, 2019-12-06_07-46-33-front_split0.mp4
True, 2019-12-06_07-45-32-front_split2.mp4
True, 2019-12-06_07-48-35-front_split2.mp4
True, 2019-12-06_07-49-36-front_split1.mp4
True, 2019-12-06_07-46-33-front_split2.mp4
True, 2019-12-06_07-48-35-front_split1.mp4
False, 2019-12-05_20-08-34-front_split2.mp4
False, 2019-12-05_20-01-28-front_split1.mp4
False, 2019-12-05_20-01-28-front_split0.mp4
False, 2019-12-05_20-00-27-front_split1.mp4
False, 2019-12-05_20-06-32-front_split2.mp4
False, 2019-12-05_20-04-30-front_split0.mp4
False, 2019-12-05_20-04-30-front_split2.mp4
False, 2019-12-05_20-07-33-front_split2.mp4
False, 2019-12-05_20-00-27-front_split0.mp4
False, 2019-12-05_20-07-33-front_split1.mp4
False, 2019-12-05_20-07-33-front_split0.mp4
False, 2019-12-05_19-59-26-front_split2.mp4
False, 2019-12-05_20-05-31-front_split0.mp4
False, 2019-12-05_20-08-34-front_split1.mp4
False, 2019-12-05_19-59-26-front_split0.mp4
False, 2019-12-05_20-02-29-front_split2.mp4
False, 2019-12-05_19-59-26-front_split1.mp4
False, 2019-12-05_20-01-28-front_split2.mp4
False, 2019-12-05_20-03-29-front_split1.mp4
False, 2019-12-05_20-02-29-front_split1.mp4
False, 2019-12-05_20-05-31-front_split1.mp4
False, 2019-12-05_20-06-32-front_split0.mp4
False, 2019-12-05_20-02-29-front_split0.mp4
False, 2019-12-05_20-05-31-front_split2.mp4
False, 2019-12-05_20-03-29-front_split0.mp4
False, 2019-12-05_20-06-32-front_split1.mp4
False, 2019-12-05_20-03-29-front_split2.mp4
False, 2019-12-05_20-00-27-front_split2.mp4
False, 2019-12-05_20-08-34-front_split0.mp4
False, 2019-12-05_20-04-30-front_split1.mp4
False, 2019-12-06_09-21-06-front_split2.mp4
False, 2019-12-06_09-22-06-front_split2.mp4
False, 2019-12-06_09-22-06-front_split0.mp4
False, 2019-12-06_09-22-06-front_split1.mp4
False, 2019-12-06_09-24-08-front_split0.mp4
False, 2019-12-06_09-24-08-front_split2.mp4
False, 2019-12-06_09-21-06-front_split1.mp4
False, 2019-12-06_09-23-07-front_split0.mp4
False, 2019-12-06_09-23-07-front_split2.mp4
False, 2019-12-06_09-24-08-front_split1.mp4
False, 2019-12-06_09-23-07-front_split1.mp4
False, 2019-12-06_09-21-06-front_split0.mp4
True, 2019-12-05_18-28-47-front_split2.mp4
False, 2019-12-05_18-30-49-front_split2.mp4
True, 2019-12-05_18-29-48-front_split2.mp4
True, 2019-12-05_18-29-48-front_split1.mp4
False, 2019-12-05_18-30-49-front_split0.mp4
True, 2019-12-05_18-28-47-front_split1.mp4
True, 2019-12-05_18-28-47-front_split0.mp4
True, 2019-12-05_18-27-47-front_split0.mp4
True, 2019-12-05_18-29-48-front_split0.mp4
True, 2019-12-05_18-27-47-front_split1.mp4
True, 2019-12-05_18-27-47-front_split2.mp4
False, 2019-12-05_18-30-49-front_split1.mp4
False, 2019-12-05_18-31-50-front_split0.mp4
False, 2019-12-06_09-57-49-front_split2.mp4
False, 2019-12-06_09-55-47-front_split1.mp4
False, 2019-12-06_09-56-48-front_split1.mp4
False, 2019-12-06_09-58-50-front_split0.mp4
False, 2019-12-06_09-59-50-front_split0.mp4
False, 2019-12-06_09-58-50-front_split1.mp4
False, 2019-12-06_09-57-49-front_split1.mp4
False, 2019-12-06_09-55-47-front_split0.mp4
False, 2019-12-06_09-56-48-front_split2.mp4
False, 2019-12-06_09-56-48-front_split0.mp4
False, 2019-12-06_09-55-47-front_split2.mp4
False, 2019-12-06_09-59-50-front_split1.mp4
False, 2019-12-06_09-58-50-front_split2.mp4
False, 2019-12-06_09-57-49-front_split0.mp4
False, 2019-12-06_10-03-50-front_split2.mp4
False, 2019-12-06_10-01-49-front_split1.mp4
False, 2019-12-06_10-01-49-front_split0.mp4
False, 2019-12-06_10-02-50-front_split0.mp4
False, 2019-12-06_10-00-48-front_split2.mp4
False, 2019-12-06_10-02-50-front_split2.mp4
False, 2019-12-06_10-00-48-front_split0.mp4
False, 2019-12-06_10-00-48-front_split1.mp4
False, 2019-12-06_10-03-50-front_split1.mp4
False, 2019-12-06_10-04-51-front_split1.mp4
False, 2019-12-06_10-04-51-front_split0.mp4
False, 2019-12-06_10-02-50-front_split1.mp4
False, 2019-12-06_10-01-49-front_split2.mp4
False, 2019-12-06_10-03-50-front_split0.mp4
False, 2019-12-05_18-51-48-front_split1.mp4
False, 2019-12-05_18-55-50-front_split0.mp4
False, 2019-12-05_18-58-52-front_split2.mp4
False, 2019-12-05_18-50-47-front_split2.mp4
False, 2019-12-05_18-55-50-front_split2.mp4
False, 2019-12-05_18-54-50-front_split1.mp4
False, 2019-12-05_18-55-50-front_split1.mp4
False, 2019-12-05_18-57-52-front_split1.mp4
